# Scene: /home/lighthouse/ros2_ws/src/lighthouse/lighthouse_isaac_hospital_scene/isaac_hospital_scene_spot.usd
# Total prims listed: 1893
TYPE                           X         Y         Z        QX      QY      QZ      QW     R_deg   P_deg   Y_deg  PATH
Xform                      0.260    -0.015     0.885    -0.000   0.707  -0.000   0.707   -135.00   90.00 -135.00  /World/spot/body/Camera_SG2_OX03CC_5200_GMSL2_H60YA/mesh
Xform                      0.260    -0.015     0.885    -0.000   0.500  -0.000   0.001     -0.00    0.06   -0.00  /World/spot/body/Camera_SG2_OX03CC_5200_GMSL2_H60YA/mesh/SG2_AR0233C_5200_G2A_H100F1A
Xform                      0.267    -0.000     0.870    -0.000   0.500   0.001   0.000      0.11    0.00   -0.00  /World/spot/body/Camera_SG2_OX03CC_5200_GMSL2_H60YA/mesh/SG2_AR0233C_5200_G2A_H100F1A/lens
Mesh                       0.267    -0.000     0.870    -0.000   0.500   0.001   0.000      0.11    0.00   -0.00  /World/spot/body/Camera_SG2_OX03CC_5200_GMSL2_H60YA/mesh/SG2_AR0233C_5200_G2A_H100F1A/lens/Mesh
Xform                      0.245     0.088     0.870    -0.000   0.500  -0.000   0.001     -0.00    0.06   -0.00  /World/spot/body/Camera_SG2_OX03CC_5200_GMSL2_H60YA/mesh/SG2_AR0233C_5200_G2A_H100F1A/top
Mesh                       0.245     0.088     0.870    -0.000   0.500  -0.000   0.001     -0.00    0.06   -0.00  /World/spot/body/Camera_SG2_OX03CC_5200_GMSL2_H60YA/mesh/SG2_AR0233C_5200_G2A_H100F1A/top/Mesh
Xform                      0.598    -1.391     0.496     0.000   0.001   0.500  -0.000      0.05   -0.02   -0.01  /World/spot/body/Camera_SG2_OX03CC_5200_GMSL2_H60YA/mesh/SG2_AR0233C_5200_G2A_H100F1A/screw
Mesh                       0.598    -1.391     0.496     0.000   0.001   0.500  -0.000      0.05   -0.02   -0.01  /World/spot/body/Camera_SG2_OX03CC_5200_GMSL2_H60YA/mesh/SG2_AR0233C_5200_G2A_H100F1A/screw/Mesh
Xform                      0.598    -1.391     0.471     0.000   0.001   0.500  -0.000      0.05   -0.02   -0.01  /World/spot/body/Camera_SG2_OX03CC_5200_GMSL2_H60YA/mesh/SG2_AR0233C_5200_G2A_H100F1A/screw_01
Mesh                       0.598    -1.391     0.471     0.000   0.001   0.500  -0.000      0.05   -0.02   -0.01  /World/spot/body/Camera_SG2_OX03CC_5200_GMSL2_H60YA/mesh/SG2_AR0233C_5200_G2A_H100F1A/screw_01/Mesh
Xform                      0.598    -1.417     0.471     0.000   0.001   0.500  -0.000      0.05   -0.02   -0.01  /World/spot/body/Camera_SG2_OX03CC_5200_GMSL2_H60YA/mesh/SG2_AR0233C_5200_G2A_H100F1A/screw_02
Mesh                       0.598    -1.417     0.471     0.000   0.001   0.500  -0.000      0.05   -0.02   -0.01  /World/spot/body/Camera_SG2_OX03CC_5200_GMSL2_H60YA/mesh/SG2_AR0233C_5200_G2A_H100F1A/screw_02/Mesh
Xform                      0.598    -1.417     0.496     0.000   0.001   0.500  -0.000      0.05   -0.02   -0.01  /World/spot/body/Camera_SG2_OX03CC_5200_GMSL2_H60YA/mesh/SG2_AR0233C_5200_G2A_H100F1A/screw_03
Mesh                       0.598    -1.417     0.496     0.000   0.001   0.500  -0.000      0.05   -0.02   -0.01  /World/spot/body/Camera_SG2_OX03CC_5200_GMSL2_H60YA/mesh/SG2_AR0233C_5200_G2A_H100F1A/screw_03/Mesh
Xform                      0.245     0.088     0.870    -0.000   0.500  -0.000   0.001     -0.00    0.06   -0.00  /World/spot/body/Camera_SG2_OX03CC_5200_GMSL2_H60YA/mesh/SG2_AR0233C_5200_G2A_H100F1A/bottom
Mesh                       0.245     0.088     0.870    -0.000   0.500  -0.000   0.001     -0.00    0.06   -0.00  /World/spot/body/Camera_SG2_OX03CC_5200_GMSL2_H60YA/mesh/SG2_AR0233C_5200_G2A_H100F1A/bottom/Mesh
Xform                      0.235    -0.000     0.876     0.000   0.501  -0.000   0.000     -0.00    0.00    0.00  /World/spot/body/Camera_SG2_OX03CC_5200_GMSL2_H60YA/mesh/SG2_AR0233C_5200_G2A_H100F1A/fakra
Mesh                       0.235    -0.000     0.876     0.000   0.501  -0.000   0.000     -0.00    0.00    0.00  /World/spot/body/Camera_SG2_OX03CC_5200_GMSL2_H60YA/mesh/SG2_AR0233C_5200_G2A_H100F1A/fakra/Mesh
Xform                     -0.121    -1.411     1.263     0.500  -0.000  -0.000  -0.001     -0.10    0.02   -0.01  /World/spot/body/Camera_SG2_OX03CC_5200_GMSL2_H60YA/mesh/SG2_AR0233C_5200_G2A_H100F1A/screw_04
Mesh                      -0.121    -1.411     1.263     0.500  -0.000  -0.000  -0.001     -0.10    0.02   -0.01  /World/spot/body/Camera_SG2_OX03CC_5200_GMSL2_H60YA/mesh/SG2_AR0233C_5200_G2A_H100F1A/screw_04/Mesh
Xform                     -0.121    -1.397     1.263     0.500  -0.000  -0.000  -0.001     -0.10    0.02   -0.01  /World/spot/body/Camera_SG2_OX03CC_5200_GMSL2_H60YA/mesh/SG2_AR0233C_5200_G2A_H100F1A/screw_05
Mesh                      -0.121    -1.397     1.263     0.500  -0.000  -0.000  -0.001     -0.10    0.02   -0.01  /World/spot/body/Camera_SG2_OX03CC_5200_GMSL2_H60YA/mesh/SG2_AR0233C_5200_G2A_H100F1A/screw_05/Mesh
Xform                      0.450     0.000     0.770     0.000   0.423   0.000   0.906      0.00   50.00    0.00  /World/spot/body/rsd455
Xform                      0.450     0.000     0.770     0.423   0.000   0.906   0.000      0.00  -50.00  180.00  /World/spot/body/rsd455/RSD455
Camera                     0.450     0.000     0.770    -0.242   0.242   0.664  -0.664     40.00   -0.00  -90.00  /World/spot/body/rsd455/RSD455/Camera_Pseudo_Depth
Xform                      0.450     0.000     0.770    -0.003   0.003   0.502  -0.009      0.19    0.18   -1.02  /World/spot/body/rsd455/RSD455/Camera_Pseudo_Depth/OmniverseKitViewportCameraMesh
Mesh                       0.450     0.000     0.770    -0.001   0.001   0.500  -0.002      0.04    0.04   -0.20  /World/spot/body/rsd455/RSD455/Camera_Pseudo_Depth/OmniverseKitViewportCameraMesh/CameraMode
IsaacImuSensor             0.445     0.017     0.787     0.423   0.000   0.906   0.000      0.00  -50.00  180.00  /World/spot/body/rsd455/RSD455/Imu_Sensor
Xform                      0.450     0.000     0.770     0.664   0.664   0.242   0.242    140.00   -0.00   90.00  /World/spot/body/rsd455/RSD455/Visual
Mesh                       0.450     0.000     0.770     0.664   0.664   0.242   0.242    140.00   -0.00   90.00  /World/spot/body/rsd455/RSD455/Visual/Case_front
Mesh                       0.450     0.000     0.770     0.664   0.664   0.242   0.242    140.00   -0.00   90.00  /World/spot/body/rsd455/RSD455/Visual/Glass
Mesh                       0.450     0.000     0.770     0.664   0.664   0.242   0.242    140.00   -0.00   90.00  /World/spot/body/rsd455/RSD455/Visual/Case_back
Mesh                       0.429    -0.037     0.781     0.641   0.641  -0.299  -0.299   -130.00   -0.00   90.00  /World/spot/body/rsd455/RSD455/Visual/USB_C
Mesh                       0.450     0.000     0.770     0.664   0.664   0.242   0.242    140.00   -0.00   90.00  /World/spot/body/rsd455/RSD455/Visual/Mount
Mesh                       0.442     0.011     0.779    -0.242   0.242   0.664  -0.664     40.00    0.00  -90.00  /World/spot/body/rsd455/RSD455/Visual/Camera_module
Mesh                       0.450     0.000     0.770     0.664   0.664   0.242   0.242    140.00   -0.00   90.00  /World/spot/body/rsd455/RSD455/Visual/Front_mask
Mesh                       0.450     0.000     0.770     0.664   0.664   0.242   0.242    140.00   -0.00   90.00  /World/spot/body/rsd455/RSD455/Visual/camera_mask
Camera                     0.450    -0.011     0.770     0.242  -0.242  -0.664   0.664     40.00   -0.00  -90.00  /World/spot/body/rsd455/RSD455/Camera_OmniVision_OV9782_Color
Xform                      0.450    -0.011     0.770     0.003  -0.003  -0.009   0.502      0.19   -0.18   -0.51  /World/spot/body/rsd455/RSD455/Camera_OmniVision_OV9782_Color/OmniverseKitViewportCameraMesh
Mesh                       0.450    -0.011     0.770     0.001  -0.001  -0.002   0.500      0.04   -0.04   -0.10  /World/spot/body/rsd455/RSD455/Camera_OmniVision_OV9782_Color/OmniverseKitViewportCameraMesh/CameraMode
Camera                     0.450     0.048     0.770     0.242  -0.242  -0.664   0.664     40.00   -0.00  -90.00  /World/spot/body/rsd455/RSD455/Camera_OmniVision_OV9782_Left
Xform                      0.450     0.048     0.770     0.003  -0.003  -0.009   0.502      0.19   -0.18   -0.51  /World/spot/body/rsd455/RSD455/Camera_OmniVision_OV9782_Left/OmniverseKitViewportCameraMesh
Mesh                       0.450     0.048     0.770     0.001  -0.001  -0.002   0.500      0.04   -0.04   -0.10  /World/spot/body/rsd455/RSD455/Camera_OmniVision_OV9782_Left/OmniverseKitViewportCameraMesh/CameraMode
Camera                     0.450    -0.048     0.770     0.242  -0.242  -0.664   0.664     40.00   -0.00  -90.00  /World/spot/body/rsd455/RSD455/Camera_OmniVision_OV9782_Right
Xform                      0.450    -0.048     0.770     0.003  -0.003  -0.009   0.502      0.19   -0.18   -0.51  /World/spot/body/rsd455/RSD455/Camera_OmniVision_OV9782_Right/OmniverseKitViewportCameraMesh
Mesh                       0.450    -0.048     0.770     0.001  -0.001  -0.002   0.500      0.04   -0.04   -0.10  /World/spot/body/rsd455/RSD455/Camera_OmniVision_OV9782_Right/OmniverseKitViewportCameraMesh/CameraMode
Xform                      0.000     0.000     0.000     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital
Xform                     14.160     0.651     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M3_DoorWall_386
Xform                     11.160     0.650     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M3_SideWall2
Xform                     11.160     0.632     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M3_Floor_396
Mesh                      11.160     0.632     0.001     0.000   0.000   0.000   0.507      0.00    0.00    0.00  /World/hospital/Geo_M3_Floor_396/Geo_M3_Floor
Xform                     11.160    -2.850     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M3_BackWall2
Xform                     14.160    -2.849     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M3_DoorWall2
Xform                     11.160    -2.850     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M3_SideWall4
Xform                     11.160    -2.849     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M3_Floor2
Xform                     11.160    -2.850     0.000     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_W_WallBase_423
Xform                      7.160    -2.850     0.000     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_W_WallBase2
Xform                     -5.640    -2.850     0.000     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_W_WallBase3
Xform                    -13.735     1.651     0.000     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_W_WallBase4
Xform                    -17.735     1.651     0.000     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_W_WallBase5
Xform                    -21.735     1.651     0.000     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_W_WallBase6
Xform                    -25.708     1.651     0.000     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_W_WallBase7
Xform                    -29.708     1.651     0.000     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_W_WallBase10
Xform                    -33.708     1.750     0.000     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_W_WallCornerBase1_444
Xform                    -34.208     6.250     0.000     0.000   0.000   0.707   0.707      0.00    0.00   90.00  /World/hospital/Geo_W_WallBase11
Xform                    -34.208     6.250    -0.009     0.000   0.000   0.707  -0.707      0.00   -0.00  -90.00  /World/hospital/Geo_W_WallCornerBase1_448
Xform                    -33.240     7.248    -0.009     0.000   0.000   1.000   0.000      0.00    0.00  180.00  /World/hospital/Geo_W_WallBase1_10
Xform                    -32.740    10.451     0.000     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_W_WallBase12
Xform                    -36.740    10.450     0.000     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_W_WallBase2_468
Xform                    -38.242     7.250     0.000     0.000   0.000   0.707   0.707      0.00    0.00   90.00  /World/hospital/Geo_W_WallBase13
Xform                    -38.240     2.750     0.000     0.000   0.000   0.707  -0.707      0.00   -0.00  -90.00  /World/hospital/Geo_W_WallBase1_11
Xform                    -38.340     2.750     0.000     0.000   0.000   0.707   0.707      0.00    0.00   90.00  /World/hospital/Geo_W_WallCornerBase1_3
Xform                    -39.340     1.650     0.000     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_W_WallBase14
Xform                    -43.340     1.650     0.000     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_W_WallBase15
Xform                    -47.340     1.750    -0.009     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_W_WallCornerBase1_5
Xform                    -48.440     2.750     0.000     0.000   0.000   0.707  -0.707      0.00   -0.00  -90.00  /World/hospital/Geo_W_WallBase17
Xform                    -48.140     6.951     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_W_WallCornerBase1_487
Xform                    -48.140    21.750     0.014     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_W_WallHallway_490
Xform                    -38.535    32.831     0.014     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_W_WallDoor_493
Xform                    -28.440    23.751     0.000     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_W_WallBase18
Xform                    -24.440    23.751     0.000     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_W_WallBase19
Xform                    -24.456    23.750    -0.009     0.000   0.000   1.000   0.000      0.00    0.00  180.00  /World/hospital/Geo_W_WallCornerBase1_6
Xform                    -23.458    18.851     0.000     0.000   0.000   0.707  -0.707      0.00   -0.00  -90.00  /World/hospital/Geo_W_WallBase20
Xform                    -23.458    15.851     0.001     0.000   0.000   0.707  -0.707      0.00   -0.00  -90.00  /World/hospital/Geo_W_WallBase3_500
Xform                      4.460    15.850    -0.009     0.000   0.000  -0.707   0.707      0.00    0.00  -90.00  /World/hospital/Geo_W_WallBase1_12
Xform                      4.460    17.350     0.001     0.000   0.000   0.707   0.707      0.00    0.00   90.00  /World/hospital/Geo_W_WallBase2_504
Xform                      4.360    17.350    -0.009     0.000   0.000   0.707  -0.707      0.00   -0.00  -90.00  /World/hospital/Geo_W_WallCornerBase3
Xform                     10.460    19.350     0.000     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_W_WallBase21
Xform                     11.210    19.350     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_W_WallBaseCostum_509
Xform                     11.158    28.750     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_W_WallCornerCostum_512
Xform                     10.758    34.850     0.000     0.000   0.000   0.707   0.707      0.00    0.00   90.00  /World/hospital/Geo_W_WallBase22
Xform                     10.658    34.850     0.001     0.000   0.000   0.707  -0.707      0.00   -0.00  -90.00  /World/hospital/Geo_W_WallCornerBase4
Xform                     16.760    36.851     0.000     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_W_WallBase23
Xform                     18.760    36.851     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_W_WallBase1_525
Xform                     18.760    36.951     0.001     0.000   0.000   1.000   0.000      0.00    0.00  180.00  /World/hospital/Geo_W_WallCornerBase6
Xform                     20.761    32.851     0.001     0.000   0.000   0.707  -0.707      0.00   -0.00  -90.00  /World/hospital/Geo_W_WallBase1_3
Xform                     20.860    32.851     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_W_WallDoorCostum_536
Xform                     20.760    -4.450     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_W_WallDoor2_539
Xform                     15.160    -4.350     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_W_WallCornerBase1_545
Xform                     17.160    -4.450     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_W_WallBase1_552
Xform                     14.160    -3.350     0.001     0.000   0.000   0.707  -0.707      0.00   -0.00  -90.00  /World/hospital/Geo_W_WallBase1_556
Xform                     -3.840     5.350     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_WindowWallRight_559
Xform                     -0.341     5.507     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_WindowWallLeft_562
Xform                     -3.840     8.851     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_BaseWallSide2_565
Xform                    -10.839     5.350     0.001     0.000   0.000   1.000  -0.000      0.00   -0.00 -180.00  /World/hospital/Geo_M2_BaseWallSide_572
Xform                     -0.341     8.851     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_BaseWallCorner2_578
Xform                      3.159     5.350     0.001     0.000   0.000   1.000  -0.000      0.00   -0.00 -180.00  /World/hospital/Geo_M2_BaseWallSide3
Xform                     -0.340     8.851     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_Floor_582
Xform                     -0.340     8.851     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_Floor_582/Geo_M2_Floor
Mesh                      -0.340     8.851     0.001     0.000   0.000   0.000   0.507      0.00    0.00    0.00  /World/hospital/Geo_M2_Floor_582/Geo_M2_Floor/Geo_M2_Floor
Xform                     -3.840     8.851     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_Floor2
Xform                    -10.839     5.350     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_WindowWallRight2
Xform                     -7.339     5.507     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_WindowWallLeft2
Xform                    -10.839     8.851     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_BaseWallSide4
Xform                    -10.839     8.851     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_WallDoorCorner2
Xform                     -7.340     8.851     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_BaseWallCorner3
Xform                     -3.839     5.350     0.001     0.000   0.000   1.000  -0.000      0.00   -0.00 -180.00  /World/hospital/Geo_M2_BaseWallSide5
Xform                     -7.339     8.851     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_Floor3
Xform                    -10.839     8.851     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_Floor4
Xform                    -10.839     5.350     0.001     0.000   0.000   1.000  -0.000      0.00   -0.00 -180.00  /World/hospital/Geo_M2_BaseWallSide6
Xform                    -14.339     8.851     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_BaseWallSide7
Xform                    -10.839     8.851     0.001     0.000   0.000   1.000  -0.000      0.00   -0.00 -180.00  /World/hospital/Geo_M2_DoorWall2Corner_603
Xform                    -14.339     8.851     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_Floor5
Xform                    -14.339     5.350     0.001     0.000   0.000   1.000  -0.000      0.00   -0.00 -180.00  /World/hospital/Geo_M2_BaseWallSide8
Xform                    -17.839     5.350     0.001     0.000   0.000   0.707   0.000      0.00    0.00  180.00  /World/hospital/Geo_M2_BaseWallCorner4_614
Xform                    -21.340     5.508     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_BaseWall_617
Xform                    -21.340     5.350     0.001     0.000   0.000   1.000   0.000      0.00    0.00  180.00  /World/hospital/Geo_M2_BaseWallCorner5_625
Xform                    -24.832     8.853     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_BaseWallSide9_627
Xform                    -24.840     8.851     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_WallDoorCorner3_634
Xform                    -21.332     8.851     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_BaseWall2
Xform                    -17.839     8.851     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_BaseWallCorner6
Xform                    -17.839     8.851     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_Floor6
Xform                    -21.340     8.851     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_Floor7
Xform                    -24.840     8.851     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_Floor8
Xform                      4.460    12.348     0.001     0.000   0.000   1.000  -0.000      0.00   -0.00 -180.00  /World/hospital/Geo_M2_BaseWallSide10_646
Xform                      0.960    12.348     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_DoorWall2Corner2_656
Xform                      0.960    15.848     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_BaseWallSide12
Xform                      0.960    15.850    -0.009     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_BaseWallSide14_678
Xform                      0.960    15.848     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_Floor9
Xform                      0.960    12.348     0.001     0.000   0.000   1.000  -0.000      0.00   -0.00 -180.00  /World/hospital/Geo_M2_BaseWallSide11_685
Xform                     -2.540    12.348     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_DoorWall2Corner3
Xform                     -2.540    15.848     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_BaseWallSide13
Xform                     -2.540    15.850    -0.009     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_BaseWallSide15
Xform                     -2.540    15.848     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_Floor10
Xform                     -2.540    12.348     0.001     0.000   0.000   1.000  -0.000      0.00   -0.00 -180.00  /World/hospital/Geo_M2_BaseWallSide16
Xform                     -6.040    12.348     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_DoorWall2Corner4
Xform                     -6.040    15.848     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_BaseWallSide17
Xform                     -6.040    15.850    -0.009     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_BaseWallSide18
Xform                     -6.040    15.848     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_Floor11
Xform                     -6.039    12.350     0.001     0.000   0.000   1.000  -0.000      0.00   -0.00 -180.00  /World/hospital/Geo_M2_BaseWallSide19
Xform                    -13.040    12.508     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_BaseWall3
Xform                    -13.040    12.350     0.001     0.000   0.000   1.000   0.000      0.00    0.00  180.00  /World/hospital/Geo_M2_BaseWallCorner8
Xform                    -16.540    15.851     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_BaseWallSide20
Xform                    -13.040    15.851     0.011     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_BaseWall4
Xform                     -9.539    15.851     0.011     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_BaseWallCorner9
Xform                     -9.539    15.851     0.001     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/hospital/Geo_M2_Floor12
